,County,State,Year,Population,Pop_percent_change,Fatalities,intensity
229,Wulu,Lakes,2013,56592,0.042585524,0,0
230,Yambio,Western Equatoria,2013,205937,0.044460199,0,0
231,Yei,Central Equatoria,2013,271390,0.044224179,0,0
232,Yirol East,Lakes,2013,90005,0.041675462,0,0
233,Yirol West,Lakes,2013,142422,0.042725141,0,0
234,Abiemnhom,Unity,2014,24080,0.036420266,0,0
235,Akobo,Jonglei,2014,191996,0.040964395,0,0
236,Aweil Centre,Northern Bahr el Ghazal,2014,57442,0.021743672,0,0
237,Aweil East,Northern Bahr el Ghazal,2014,436824,0.043656026,0,0
238,Aweil North,Northern Bahr el Ghazal,2014,184654,0.057133883,0,0
239,Aweil South,Northern Bahr el Ghazal,2014,102639,0.04247898,0,0
240,Aweil West,Northern Bahr el Ghazal,2014,230777,0.03435351,0,0
241,Awerial,Lakes,2014,66441,0.039975316,0,0
242,Ayod,Jonglei,2014,196759,0.03954584,0,0
243,Baliet,Upper Nile,2014,69782,0.05765097,0,0
244,Bor South,Jonglei,2014,311976,0.040660179,0,0
245,Budi,Eastern Equatoria,2014,138097,0.041680848,0,0
246,Canal/Pigi,Jonglei,2014,138299,0.030144831,0,0
247,Cueibet,Lakes,2014,166065,0.040231235,0,0
248,Duk,Jonglei,2014,92098,0.04286738,0,0
249,Ezo,Western Equatoria,2014,109439,0.047853142,0,0
250,Fangak,Jonglei,2014,155636,0.041552083,0,0
251,Fashoda,Upper Nile,2014,51465,0.041018168,0,0
252,Gogrial East,Warrap,2014,140868,0.015553568,0,0
253,Gogrial West,Warrap,2014,343953,0.038397688,0,0
254,Guit,Unity,2014,48878,0.046360326,0,0
255,Ibba,Western Equatoria,2014,58769,0.041093093,0,0
256,Ikotos,Eastern Equatoria,2014,120495,0.040823271,0,0
257,Juba,Central Equatoria,2014,638799,0.213629013,0,0
258,Jur River,Western Bahr el Ghazal,2014,180004,0.039515789,0,0
259,Kajo-keji,Central Equatoria,2014,214827,-0.238806109,0,0
260,Kapoeta East,Eastern Equatoria,2014,257519,0.041627996,0,0
261,Kapoeta North,Eastern Equatoria,2014,143947,0.0405427,0,0
262,Kapoeta South,Eastern Equatoria,2014,112253,0.041148121,0,0
263,Koch,Unity,2014,106521,0.033833704,0,0
264,Lafon,Eastern Equatoria,2014,148485,0.041485672,0,0
265,Lainya,Central Equatoria,2014,125702,0.03917201,0,0
266,Leer,Unity,2014,74599,0.042198957,0,0
267,Longochuk,Upper Nile,2014,90756,0.035909472,0,0
268,Luakpiny/Nasir,Upper Nile,2014,296148,0.03761295,0,0
269,Maban,Upper Nile,2014,61988,0.056398013,0,0
270,Magwi,Eastern Equatoria,2014,237224,0.042381884,0,0
271,Maiwut,Upper Nile,2014,113831,0.04586624,0,0
272,Malakal,Upper Nile,2014,178423,0.040269472,0,0
273,Manyo,Upper Nile,2014,46429,-0.057787159,0,0
274,Maridi,Western Equatoria,2014,116108,0.041263307,0,0
275,Mayendit,Unity,2014,72832,0.043442443,0,0
276,Mayom,Unity,2014,174058,0.063530547,0,0
277,Melut,Upper Nile,2014,69026,0.036725292,0,0
278,Morobo,Central Equatoria,2014,102475,-0.330822152,0,0
279,Mundri East,Western Equatoria,2014,68207,0.042107115,0,0
280,Mundri West,Western Equatoria,2014,47546,0.042590334,0,0
281,Mvolo,Western Equatoria,2014,68226,0.046375282,0,0
282,Nagero,Western Equatoria,2014,14094,0.041010359,0,0
283,Nyirol,Jonglei,2014,153751,0.042126555,0,0
284,Nzara,Western Equatoria,2014,92390,0.04012339,0,0
285,Panyijiar,Unity,2014,71485,0.042204658,0,0
286,Panyikang,Upper Nile,2014,63036,0.04830573,0,0
287,Pariang,Unity,2014,115859,0.039945106,0,0
288,Pibor,Jonglei,2014,209590,0.040822558,0,0
289,Pochalla,Jonglei,2014,93504,0.040597194,0,0
290,Raga,Western Bahr el Ghazal,2014,65685,0.020552638,0,0
291,Renk,Upper Nile,2014,192920,0.048304997,0,0
292,Rubkona,Unity,2014,141431,0.043915408,0,0
293,Rumbek Centre,Lakes,2014,215962,0.041252628,0,0
294,Rumbek East,Lakes,2014,169575,0.039964617,0,0
295,Rumbek North,Lakes,2014,61048,0.040115974,0,0
296,Tambura,Western Equatoria,2014,75749,0.04735376,0,0
297,Terekeka,Central Equatoria,2014,187686,-0.011647113,0,0
298,Tonj East,Warrap,2014,164127,0.043094677,0,0
299,Tonj North,Warrap,2014,236110,0.038291474,0,0
300,Tonj South,Warrap,2014,122969,0.041929267,0,0
301,Torit,Eastern Equatoria,2014,140637,0.039690835,0,0
302,Twic,Warrap,2014,285835,0.034138576,0,0
303,Twic East,Jonglei,2014,119829,0.041400663,0,0
304,Ulang,Upper Nile,2014,120848,0.041796306,0,0
305,Uror,Jonglei,2014,251560,0.039505486,0,0
306,Wau,Western Bahr el Ghazal,2014,213758,0.042005445,0,0
307,Wulu,Lakes,2014,59030,0.041301033,0,0
308,Yambio,Western Equatoria,2014,214662,0.040645294,0,0
309,Yei,Central Equatoria,2014,278004,0.023791025,0,0
310,Yirol East,Lakes,2014,93900,0.041480298,0,0
311,Yirol West,Lakes,2014,147946,0.037337948,0,0
312,Abiemnhom,Unity,2015,31683,0.239970962,0,0
313,Akobo,Jonglei,2015,188273,-0.019774476,0,0
314,Aweil Centre,Northern Bahr el Ghazal,2015,87394,0.342723757,0,0
315,Aweil East,Northern Bahr el Ghazal,2015,431148,-0.013164853,0,0
316,Aweil North,Northern Bahr el Ghazal,2015,206227,0.104608029,0,0
317,Aweil South,Northern Bahr el Ghazal,2015,100235,-0.023983638,0,0
318,Aweil West,Northern Bahr el Ghazal,2015,234997,0.017957676,0,0
319,Awerial,Lakes,2015,70333,0.055336755,0,0
320,Ayod,Jonglei,2015,205460,0.042348876,0,0
321,Baliet,Upper Nile,2015,102762,0.320935754,0,0
322,Bor South,Jonglei,2015,325643,0.041969273,0,0
323,Budi,Eastern Equatoria,2015,141506,0.024090851,0,0
324,Canal/Pigi,Jonglei,2015,142551,0.029827921,0,0
325,Cueibet,Lakes,2015,171516,0.031781292,0,0
326,Duk,Jonglei,2015,95443,0.035047096,0,0
327,Ezo,Western Equatoria,2015,113365,0.0346315,0,0
328,Fangak,Jonglei,2015,159893,0.026624055,0,0
329,Fashoda,Upper Nile,2015,47524,-0.082926521,0,0
330,Gogrial East,Warrap,2015,144706,0.026522743,0,0
331,Gogrial West,Warrap,2015,311870,-0.102872992,0,0
332,Guit,Unity,2015,38436,-0.27167239,0,0
333,Ibba,Western Equatoria,2015,59867,0.018340655,0,0
334,Ikotos,Eastern Equatoria,2015,107072,-0.125364241,0,0
335,Juba,Central Equatoria,2015,528544,-0.208601365,0,0
336,Jur River,Western Bahr el Ghazal,2015,142329,-0.264703609,0,0
337,Kajo-keji,Central Equatoria,2015,272878,0.212736095,0,0
338,Kapoeta East,Eastern Equatoria,2015,240403,-0.071197115,0,0
339,Kapoeta North,Eastern Equatoria,2015,146527,0.017607676,0,0
340,Kapoeta South,Eastern Equatoria,2015,109765,-0.022666606,0,0
341,Koch,Unity,2015,115691,0.079262864,0,0
342,Lafon,Eastern Equatoria,2015,86583,-0.714944042,0,0
343,Lainya,Central Equatoria,2015,132662,0.052464157,0,0
344,Leer,Unity,2015,79520,0.061883803,0,0
345,Longochuk,Upper Nile,2015,162036,0.439902244,0,0
346,Luakpiny/Nasir,Upper Nile,2015,283397,-0.044993419,0,0
347,Maban,Upper Nile,2015,63719,0.027166151,0,0
348,Magwi,Eastern Equatoria,2015,245674,0.034395174,0,0
349,Maiwut,Upper Nile,2015,120843,0.058025703,0,0
350,Malakal,Upper Nile,2015,182700,0.023409962,0,0
351,Manyo,Upper Nile,2015,52618,0.117621346,0,0
352,Maridi,Western Equatoria,2015,116347,0.0020542,0,0
353,Mayendit,Unity,2015,91282,0.2021209,0,0
354,Mayom,Unity,2015,185773,0.063060832,0,0
355,Melut,Upper Nile,2015,73620,0.062401521,0,0
356,Morobo,Central Equatoria,2015,136413,0.248788605,0,0
357,Mundri East,Western Equatoria,2015,85452,0.201809203,0,0
358,Mundri West,Western Equatoria,2015,61436,0.226088938,0,0
359,Mvolo,Western Equatoria,2015,73196,0.067899885,0,0
360,Nagero,Western Equatoria,2015,15405,0.08510224,0,0
361,Nyirol,Jonglei,2015,168797,0.089136655,0,0
362,Nzara,Western Equatoria,2015,99151,0.068188924,0,0
363,Panyijiar,Unity,2015,74465,0.040018801,0,0
364,Panyikang,Upper Nile,2015,33193,-0.899075106,0,0
365,Pariang,Unity,2015,117272,0.012048912,0,0
366,Pibor,Jonglei,2015,219406,0.044738977,0,0
367,Pochalla,Jonglei,2015,94153,0.006893036,0,0
368,Raga,Western Bahr el Ghazal,2015,70514,0.068482854,0,0
369,Renk,Upper Nile,2015,204853,0.058251527,0,0
370,Rubkona,Unity,2015,158885,0.109853038,0,0
371,Rumbek Centre,Lakes,2015,330992,0.347531058,0,0
372,Rumbek East,Lakes,2015,105757,-0.603439961,0,0
373,Rumbek North,Lakes,2015,56847,-0.073900118,0,0
374,Tambura,Western Equatoria,2015,78384,0.033616554,0,0
375,Terekeka,Central Equatoria,2015,195018,0.03759653,0,0
376,Tonj East,Warrap,2015,179737,0.086849118,0,0
377,Tonj North,Warrap,2015,247388,0.045588307,0,0
378,Tonj South,Warrap,2015,121827,-0.009373948,0,0
379,Torit,Eastern Equatoria,2015,152296,0.076554867,0,0
380,Twic,Warrap,2015,298720,0.043134039,0,0
381,Twic East,Jonglei,2015,117806,-0.0171723,0,0
382,Ulang,Upper Nile,2015,120030,-0.006814963,0,0
383,Uror,Jonglei,2015,264325,0.048292821,0,0
384,Wau,Western Bahr el Ghazal,2015,249343,0.142715055,0,0
385,Wulu,Lakes,2015,68055,0.132613327,0,0
386,Yambio,Western Equatoria,2015,209825,-0.023052544,0,0
387,Yei,Central Equatoria,2015,294972,0.057524104,0,0
388,Yirol East,Lakes,2015,117978,0.204088898,0,0
389,Yirol West,Lakes,2015,100953,-0.465493844,0,0
390,Abyei PCA Area,Abyei PCA Area,2008,,,92,
391,Abyei PCA Area,Abyei PCA Area,2009,,,0,
392,Abyei PCA Area,Abyei PCA Area,2010,,,14,
393,Abyei PCA Area,Abyei PCA Area,2011,,,289,
394,Abyei PCA Area,Abyei PCA Area,2012,,,1,
395,Abyei PCA Area,Abyei PCA Area,2013,,,63,
396,Abyei PCA Area,Abyei PCA Area,2014,,,157,
397,Abyei PCA Area,Abyei PCA Area,2015,,,120,
398,Lakes,Bahr el Ghazal,2008,,,128,
399,Lakes,Bahr el Ghazal,2009,,,93,
400,Lakes,Bahr el Ghazal,2010,,,239,
401,Lakes,Bahr el Ghazal,2011,,,161,
402,Northern Bahr el Ghazal,Bahr el Ghazal,2009,,,5,
403,Northern Bahr el Ghazal,Bahr el Ghazal,2010,,,0,
404,Northern Bahr el Ghazal,Bahr el Ghazal,2011,,,0,
405,Warap,Bahr el Ghazal,2008,,,19,
406,Warap,Bahr el Ghazal,2009,,,55,
407,Warap,Bahr el Ghazal,2010,,,235,
408,Warap,Bahr el Ghazal,2011,,,464,
409,Western Bahr el Ghazal,Bahr el Ghazal,2008,,,0,
410,Western Bahr el Ghazal,Bahr el Ghazal,2009,,,14,
411,Western Bahr el Ghazal,Bahr el Ghazal,2010,,,10,
412,Western Bahr el Ghazal,Bahr el Ghazal,2011,,,0,
413,Al Tadamon,Blue Nile,2012,,,7,
414,Al Tadamon,Blue Nile,2014,,,4,
415,Al Tadamon,Blue Nile,2015,,,21,
416,Bau,Blue Nile,2011,,,0,
417,Bau,Blue Nile,2013,,,11,
418,Bau,Blue Nile,2014,,,103,
419,Bau,Blue Nile,2015,,,326,
420,El Damazine,Blue Nile,2009,,,0,
421,El Damazine,Blue Nile,2011,,,0,
422,El Damazine,Blue Nile,2012,,,360,
423,El Damazine,Blue Nile,2013,,,97,
424,El Damazine,Blue Nile,2014,,,14,
425,El Damazine,Blue Nile,2015,,,67,
426,El Kurmuk,Blue Nile,2011,,,4,
427,El Kurmuk,Blue Nile,2012,,,0,
428,El Kurmuk,Blue Nile,2013,,,57,
429,El Kurmuk,Blue Nile,2014,,,1,
430,El Kurmuk,Blue Nile,2015,,,12,
431,El Roseires,Blue Nile,2008,,,0,
432,El Roseires,Blue Nile,2011,,,0,
433,El Roseires,Blue Nile,2014,,,0,
434,El Roseires,Blue Nile,2015,,,0,
435,Geissan,Blue Nile,2011,,,0,
436,Geissan,Blue Nile,2013,,,32,
437,Geissan,Blue Nile,2015,,,3,
438,Beida,Central Darfur,2013,,,0,
439,Mukjar,Central Darfur,2008,,,16,
440,Mukjar,Central Darfur,2010,,,1,
441,Mukjar,Central Darfur,2012,,,2,
442,Mukjar,Central Darfur,2013,,,661,
443,Mukjar,Central Darfur,2014,,,182,
444,Mukjar,Central Darfur,2015,,,31,
445,Nertiti,Central Darfur,2010,,,0,
446,Nertiti,Central Darfur,2012,,,12,
447,Nertiti,Central Darfur,2013,,,75,
448,Nertiti,Central Darfur,2014,,,16,
449,Nertiti,Central Darfur,2015,,,44,
450,Rokoro,Central Darfur,2012,,,199,
451,Rokoro,Central Darfur,2013,,,331,
452,Rokoro,Central Darfur,2014,,,250,
453,Rokoro,Central Darfur,2015,,,413,
454,Wadi Salih,Central Darfur,2008,,,0,
455,Wadi Salih,Central Darfur,2009,,,0,
456,Wadi Salih,Central Darfur,2012,,,2,
457,Wadi Salih,Central Darfur,2013,,,196,
458,Wadi Salih,Central Darfur,2014,,,18,
459,Wadi Salih,Central Darfur,2015,,,9,
460,Zalingei,Central Darfur,2008,,,3,
461,Zalingei,Central Darfur,2009,,,0,
462,Zalingei,Central Darfur,2010,,,48,
463,Zalingei,Central Darfur,2011,,,0,
464,Zalingei,Central Darfur,2012,,,82,
465,Zalingei,Central Darfur,2013,,,74,
466,Zalingei,Central Darfur,2014,,,201,
467,Zalingei,Central Darfur,2015,,,67,
468,Abu Jabra,East Darfur,2015,,,1,
469,Abu Karinka,East Darfur,2013,,,44,
470,Abu Karinka,East Darfur,2014,,,239,
471,Abu Karinka,East Darfur,2015,,,154,
472,Adila,East Darfur,2008,,,50,
473,Adila,East Darfur,2013,,,5,
474,Adila,East Darfur,2015,,,0,
